student_id,age,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,mental_health_score,academic_level_encoded,internet_quality_encoded,gender_Female,gender_Male,gender_Other
3674,0.11111111111111116,0.4075829383886255,0.24696356275303644,0.36333333333333334,0.4335748792270532,0.4664246823956443,0.7066666666666667,0.5629370629370629,0.28187919463087246,0.751503006012024,0.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.0,0.0
2417,0.6666666666666665,0.38957345971563984,0.5411605937921727,0.2383333333333333,0.4347826086956522,0.4664246823956443,0.043333333333333335,0.16853146853146853,0.6510067114093959,0.10420841683366733,1.0,1.0,0.1111111111111111,0.5,0.0,0.0,1.0,0.0
1695,0.5555555555555554,0.38483412322274874,0.2712550607287449,0.375,0.39975845410628025,0.07441016333938294,0.44666666666666666,0.4083916083916084,0.37583892617449666,0.11422845691382764,0.0,1.0,0.5555555555555556,0.0,0.5,0.0,1.0,0.0
3215,0.11111111111111116,0.5431279620853081,0.13900134952766532,0.3466666666666667,0.3369565217391305,0.1560798548094374,0.6916666666666668,0.6552447552447551,0.060402684563758385,0.3186372745490982,0.0,0.0,0.6666666666666665,1.0,0.0,0.0,0.0,1.0
4481,0.44444444444444464,0.4511848341232227,0.48043184885290147,0.305,0.09420289855072465,0.49364791288566245,0.45000000000000007,0.49790209790209783,0.9731543624161073,0.6012024048096192,0.0,1.0,0.4444444444444445,1.0,1.0,1.0,0.0,0.0
3671,1.0,0.43791469194312793,0.2604588394062078,0.7449999999999999,0.19565217391304351,0.17241379310344826,0.15499999999999992,0.6188811188811189,0.38926174496644295,0.3246492985971944,1.0,1.0,0.8888888888888888,0.0,0.5,1.0,0.0,0.0
2228,0.0,0.17535545023696683,0.43859649122807015,0.3883333333333333,0.3115942028985508,0.023593466424682397,0.4700000000000001,0.295104895104895,0.44295302013422816,0.8396793587174348,1.0,1.0,0.1111111111111111,1.0,0.0,0.0,0.0,1.0
2427,0.5555555555555554,0.2947867298578199,0.4021592442645074,0.39999999999999997,0.19565217391304351,0.15789473684210525,0.6866666666666664,0.02517482517482518,0.4832214765100671,0.7094188376753506,1.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0
1462,0.6666666666666665,0.2654028436018957,0.23481781376518218,0.3233333333333333,0.4456521739130435,0.2776769509981851,0.7399999999999999,0.6377622377622376,0.4228187919463087,0.4228456913827655,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2079,0.6666666666666665,0.2104265402843602,0.09311740890688258,0.49,0.3756038647342995,0.023593466424682397,0.42499999999999993,0.4251748251748251,0.8523489932885906,0.0721442885771543,0.0,1.0,0.7777777777777777,0.0,1.0,0.0,0.0,1.0
1056,0.44444444444444464,0.4796208530805687,0.18893387314439944,0.4283333333333333,0.39009661835748793,0.3121597096188748,0.5950000000000001,0.43986013986013983,0.9798657718120806,0.6012024048096192,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
