student_id,age,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,mental_health_score,academic_level_encoded,internet_quality_encoded,gender_Female,gender_Male,gender_Other
4577,0.6666666666666665,0.3061611374407583,0.37921727395411603,0.2833333333333333,0.37922705314009664,0.5571687840290381,0.6466666666666666,0.3412587412587412,0.6711409395973155,0.4048096192384769,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0
1089,1.0,0.1061611374407583,0.2712550607287449,0.2633333333333333,0.5048309178743962,0.09800362976406535,0.6983333333333331,0.7755244755244755,0.04697986577181208,0.9639278557114228,1.0,0.0,0.8888888888888888,0.0,0.5,0.0,0.0,1.0
480,0.44444444444444464,0.22085308056872038,0.1039136302294197,0.6533333333333333,0.20893719806763286,0.26497277676951,0.6366666666666666,0.6265734265734266,0.9060402684563759,0.10420841683366733,1.0,1.0,0.7777777777777777,0.5,0.5,0.0,1.0,0.0
728,0.8888888888888888,0.28151658767772514,0.44264507422402155,0.0,0.21859903381642515,0.0,0.6216666666666667,0.6923076923076923,0.2348993288590604,0.8617234468937875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3784,0.5555555555555554,0.22085308056872038,0.07827260458839405,0.41500000000000004,0.35507246376811596,0.3411978221415608,0.735,0.44405594405594395,0.087248322147651,0.3006012024048096,1.0,1.0,0.4444444444444445,1.0,0.5,0.0,1.0,0.0
977,0.11111111111111116,0.409478672985782,0.5033738191632928,0.6283333333333333,0.2705314009661836,0.4573502722323049,0.06166666666666665,0.34615384615384615,0.10738255033557047,0.6232464929859719,1.0,1.0,0.2222222222222222,0.5,0.0,0.0,1.0,0.0
3785,0.11111111111111116,0.5848341232227487,0.4399460188933873,0.3333333333333333,0.34782608695652173,0.35753176043557167,0.8516666666666665,0.4825174825174825,0.8053691275167785,0.9458917835671342,0.0,0.0,0.4444444444444445,0.5,1.0,1.0,0.0,0.0
2978,0.8888888888888888,0.7270142180094786,0.14035087719298245,0.6016666666666666,0.35507246376811596,0.24319419237749548,0.4049999999999999,0.3356643356643356,0.6040268456375839,0.5270541082164328,1.0,0.0,0.7777777777777777,0.5,0.5,0.0,0.0,1.0
1929,0.22222222222222232,0.2824644549763033,0.6396761133603239,0.21833333333333332,0.2524154589371981,0.5172413793103449,0.30666666666666664,0.3545454545454545,0.825503355704698,0.5751503006012023,0.0,0.0,0.8888888888888888,0.0,0.5,0.0,1.0,0.0
1469,0.0,0.4663507109004739,0.02564102564102564,0.24833333333333332,0.25966183574879226,0.5335753176043557,0.34666666666666657,0.6328671328671329,0.18120805369127516,0.34068136272545085,1.0,0.0,0.4444444444444445,0.0,0.0,0.0,1.0,0.0
1225,0.22222222222222232,0.4691943127962085,0.3373819163292847,0.33999999999999997,0.26328502415458943,0.1851179673321234,0.36,0.3314685314685314,0.7986577181208053,0.8116232464929859,0.0,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,1.0
2857,0.22222222222222232,0.30995260663507107,0.340080971659919,0.44499999999999995,0.4867149758454107,0.4500907441016334,0.46166666666666656,0.63006993006993,0.09395973154362416,0.5170340681362725,0.0,1.0,0.7777777777777777,1.0,1.0,0.0,1.0,0.0
1953,1.0,0.3563981042654028,0.10121457489878542,0.3516666666666666,0.20652173913043478,0.043557168784029036,0.9999999999999999,0.5328671328671327,0.8993288590604027,0.8637274549098196,1.0,0.0,0.7777777777777777,0.0,0.5,0.0,0.0,1.0
